"LIMA REGION",168,802,"LIMA REGION","953 715","9349","621","621"
"LIMA METROPOLITANA",118,951,"LIMA METROPOLITANA","9 674 755","155 958","4279","4279"
"CALLAO",15,864,"CALLAO","1 129 854","18 406","658","658"
"LAMBAYEQUE",143,347,"LAMBAYEQUE","1 310 785","14 259","768","1049"
"PIURA",120,305,"PIURA","2 047 954","17 838","799","1405"
"LORETO",421,266,"LORETO","1 027 559","9374","351","2098"
"ANCASH",240,485,"ANCASH","1 180 638","8652","505","744"
"LA LIBERTAD",225,451,"LA LIBERTAD","2 016 771","10 956","675","1505"
"UCAYALI",505,568,"UCAYALI","589 110","8170","157","802"
"AREQUIPA",517,854,"AREQUIPA","1 497 438","7807","309","407"
"ICA",355,740,"ICA","975 182","8314","527","691"
"JUNIN",390,627,"JUNIN","1 361 467","4292","162","171"
"TUMBES",80,225,"TUMBES","251 521","3146","127","379"
"SAN MARTIN",317,356,"SAN MARTIN","899 648","5947","163","386"
"CUSCO",488,662,"CUSCO","1 357 075","1932","21","40"
"CAJAMARCA",200,397,"CAJAMARCA","1 453 711","2587","87","109"
"HUANUCO",320,533,"HUANUCO","760 267","2900","80","147"
"AYACUCHO",438,788,"AYACUCHO","668 213","1982","29","45"
"AMAZONAS",233,321,"AMAZONAS","426 806","2717","88","99"
"HUANCAVELICA",390,705,"HUANCAVELICA","365 317","958","15","9"
"TACNA",627,920,"TACNA","370 974","1034","10","20"
"PUNO",630,750,"PUNO","1 237 997","1045","28","34"
"PASCO",345,565,"PASCO","271 904","1184","24","26"
"MOQUEGUA",600,896,"MOQUEGUA","192 740","1122","16","18"
"MADRE DE DIOS",610,660,"MADRE DE DIOS","173 811","2196","70","137"
"APURIMAC",497,760,"APURIMAC","430 736","593","20","13"
"TOTAL",225,695,"TOTAL","32 625 948","302 718","10 589","15 892"
